Airport,Initial_z_score,Delay_Score,Datetime
CLT,0.4746687271539925,1.2958984232578075,2023-06-01 14:00:00
DCA,1.4065696597405992,1.4423499353472906,2023-06-01 14:00:00
DEN,1.7305988554813787,1.4876591995028412,2023-06-01 14:00:00
DFW,3.059510206723255,1.6952920705433865,2023-06-01 14:00:00
DTW,0.5905224007438756,1.3150252931769404,2023-06-01 14:00:00
EWR,0.6390740607019354,1.3245698390323437,2023-06-01 14:00:00
FLL,2.063500719573589,1.5442505478667905,2023-06-01 14:00:00
IAD,0.2325044009613363,1.2630967956652346,2023-06-01 14:00:00
IAH,0.7867091517075493,1.350639121527419,2023-06-01 14:00:00
JFK,0.8914538287591902,1.3831101053877148,2023-06-01 14:00:00
LAS,3.1429304453720555,1.701301886900454,2023-06-01 14:00:00
LAX,2.528744963367755,1.6056073004785714,2023-06-01 14:00:00
LGA,1.9679854119438116,1.4987612109928627,2023-06-01 14:00:00
MCO,3.3769804185323875,1.712055571459457,2023-06-01 14:00:00
MDW,0.16529888822158653,1.2488999469382966,2023-06-01 14:00:00
MIA,1.1062944325045538,1.4100085845581103,2023-06-01 14:00:00
MSP,0.6390740607019354,1.3263795043712467,2023-06-01 14:00:00
ORD,1.3726773565909132,1.4444957036316288,2023-06-01 14:00:00
PHL,2.2004898129051482,1.5911012500391792,2023-06-01 14:00:00
PHX,0.9784382077027848,1.367928059063867,2023-06-01 14:00:00
SAN,0.0,1.2371866795335134,2023-06-01 14:00:00
SEA,0.0,1.2829046157128265,2023-06-01 14:00:00
SFO,4.2443506072543125,1.8522758802877037,2023-06-01 14:00:00
SLC,0.8404630419284908,1.395694127095965,2023-06-01 14:00:00
TPA,1.2493753276496558,1.387820837491147,2023-06-01 14:00:00
ATL,3.2377010175764545,1.7290341983209039,2023-06-01 15:00:00
AUS,0.5284226173749339,1.3118225478061898,2023-06-01 15:00:00
BNA,0.7158429977809313,1.3629625234602858,2023-06-01 15:00:00
BOS,1.036973850776932,1.4097303784345525,2023-06-01 15:00:00
BWI,1.8300102461695178,1.4998240855671954,2023-06-01 15:00:00
CLT,0.9970920604844747,1.4038867957049366,2023-06-01 15:00:00
DCA,1.3850078674433839,1.4708763023085032,2023-06-01 15:00:00
DEN,1.1101786475611335,1.4065912277673327,2023-06-01 15:00:00
DFW,2.459096421999549,1.6098922596477023,2023-06-01 15:00:00
DTW,0.23105532965441394,1.2739330910597553,2023-06-01 15:00:00
EWR,1.4795371026304265,1.465820438912739,2023-06-01 15:00:00
FLL,1.2364932832868893,1.4820875603637873,2023-06-01 15:00:00
IAD,0.09452923518704232,1.2493304970401533,2023-06-01 15:00:00
IAH,0.7173885699799274,1.3660562285619349,2023-06-01 15:00:00
JFK,1.984200137852862,1.5294397323935716,2023-06-01 15:00:00
LAS,3.3106684604662817,1.7403618460103358,2023-06-01 15:00:00
LAX,4.060959278030177,1.8614582528485217,2023-06-01 15:00:00
LGA,1.2021762381064447,1.4132681459526548,2023-06-01 15:00:00
MCO,1.7750308585113654,1.5236680961915103,2023-06-01 15:00:00
MDW,1.286914491961547,1.4769119073871437,2023-06-01 15:00:00
MIA,0.43623600816845776,1.327856266943018,2023-06-01 15:00:00
MSP,2.4795371026304265,1.6197183784864189,2023-06-01 15:00:00
ORD,1.3712282852839908,1.4636168188841228,2023-06-01 15:00:00
PHL,1.703275133034086,1.4969470699518928,2023-06-01 15:00:00
PHX,1.6175122684047203,1.4990277424333471,2023-06-01 15:00:00
SAN,0.4065696597405991,1.3162394848933436,2023-06-01 15:00:00
SEA,0.0,1.3063310614310712,2023-06-01 15:00:00
SFO,2.1321938419517896,1.57951817906214,2023-06-01 15:00:00
SLC,0.3417067729814154,1.3306703635194537,2023-06-01 15:00:00
TPA,0.9100111806488065,1.372132183444452,2023-06-01 15:00:00
ATL,3.335649556933008,1.9085310176600951,2023-06-01 16:00:00
AUS,1.84111924270776,1.7130821331095185,2023-06-01 16:00:00
BNA,0.29104004403548367,1.485933669412087,2023-06-01 16:00:00
BOS,0.8191386035256499,1.5478705280315712,2023-06-01 16:00:00
BWI,1.5526493816455365,1.670252754569702,2023-06-01 16:00:00
CLT,0.8029238776165997,1.5747084425826572,2023-06-01 16:00:00
DCA,0.5631021774045094,1.5250292479017036,2023-06-01 16:00:00
DEN,0.8489014528455822,1.5352007175964753,2023-06-01 16:00:00
DFW,2.210469812898253,1.748778530481637,2023-06-01 16:00:00
DTW,0.9025628252974325,1.5826663673419696,2023-06-01 16:00:00
EWR,1.8212438756118416,1.7208514386810232,2023-06-01 16:00:00
FLL,2.0973832258215945,1.7227019122928415,2023-06-01 16:00:00
IAD,0.03843271898553487,1.43066645809424,2023-06-01 16:00:00
